lesson,1159329,"{'title': 'возвращаем много значений', 'is_public': False, 'language': 'ru'}"
lesson,1160425,"{'title': 'if', 'is_public': False, 'language': 'ru'}"
lesson,1160426,"{'title': 'elif', 'is_public': False, 'language': 'ru'}"
lesson,1160427,"{'title': 'and, or, not', 'is_public': False, 'language': 'ru'}"
lesson,1160431,"{'title': 'None и next()', 'is_public': False, 'language': 'ru'}"
lesson,1190668,"{'title': 'else', 'is_public': False, 'language': 'ru'}"
lesson,1196525,"{'title': 'if - задачи', 'is_public': False, 'language': 'ru'}"
lesson,1196526,"{'title': 'if - задачи на смекалку', 'is_public': False, 'language': 'ru'}"
lesson,1196589,"{'title': 'match / case', 'is_public': False, 'language': 'ru'}"
lesson,784099,"{'title': 'Space Invaders', 'is_public': True, 'language': 'ru'}"
lesson,791928,"{'title': 'Space Invaders с ООП', 'is_public': True, 'language': 'ru'}"
lesson,813997,"{'title': 'Классы и объекты', 'is_public': False, 'language': 'ru'}"
lesson,1108157,"{'title': 'Атрибуты и методы', 'is_public': False, 'language': 'ru'}"
lesson,1108238,"{'title': '__init__ и __repr__', 'is_public': False, 'language': 'ru'}"
lesson,1108239,"{'title': 'b = a', 'is_public': False, 'language': 'ru'}"
lesson,1108241,"{'title': 'объект в аргументах функции', 'is_public': False, 'language': 'ru'}"
lesson,1108243,"{'title': 'первые задачи по ООП ', 'is_public': False, 'language': 'ru'}"
lesson,1120989,"{'title': 'A: циклы задачи', 'is_public': False, 'language': 'ru'}"
lesson,1160430,"{'title': 'вложенные циклы', 'is_public': False, 'language': 'ru'}"
lesson,1160432,"{'title': 'break, continue, else', 'is_public': False, 'language': 'ru'}"
lesson,1160433,"{'title': 'наследование', 'is_public': False, 'language': 'ru'}"
lesson,1160434,"{'title': 'что дальше?', 'is_public': False, 'language': 'ru'}"
lesson,1221966,"{'title': 'приоритет операций', 'is_public': False, 'language': 'ru'}"
lesson,1222003,"{'title': 'f-строки', 'is_public': False, 'language': 'ru'}"
lesson,1247797,"{'title': 'атрибут класса и @staticmethod', 'is_public': False, 'language': 'ru'}"
lesson,1354327,"{'title': 'циклы - задачи на смекалку', 'is_public': False, 'language': 'ru'}"
step,1608757,"{'lesson': 414777, 'position': 1, 'block_name': 'text'}"
step,1608758,"{'lesson': 414778, 'position': 1, 'block_name': 'text'}"
step,2398194,"{'lesson': 588212, 'position': 1, 'block_name': 'text'}"
step,1609063,"{'lesson': 414778, 'position': 2, 'block_name': 'code'}"
step,5445063,"{'lesson': 414777, 'position': 2, 'block_name': 'text'}"
step,1608834,"{'lesson': 414777, 'position': 3, 'block_name': 'choice'}"
step,1609064,"{'lesson': 414778, 'position': 3, 'block_name': 'text'}"
step,1609066,"{'lesson': 414778, 'position': 4, 'block_name': 'text'}"
step,4665160,"{'lesson': 414777, 'position': 4, 'block_name': 'choice'}"
step,1609067,"{'lesson': 414778, 'position': 5, 'block_name': 'text'}"
step,4665159,"{'lesson': 414777, 'position': 5, 'block_name': 'choice'}"
step,1608843,"{'lesson': 414777, 'position': 6, 'block_name': 'matching'}"
step,4654380,"{'lesson': 414778, 'position': 6, 'block_name': 'choice'}"
step,1608836,"{'lesson': 414777, 'position': 7, 'block_name': 'choice'}"
step,4654307,"{'lesson': 414778, 'position': 7, 'block_name': 'choice'}"
step,4654315,"{'lesson': 414778, 'position': 8, 'block_name': 'choice'}"
step,4665157,"{'lesson': 414777, 'position': 8, 'block_name': 'code'}"
step,4654309,"{'lesson': 414778, 'position': 9, 'block_name': 'number'}"
step,5445081,"{'lesson': 414777, 'position': 9, 'block_name': 'code'}"
step,4654354,"{'lesson': 414778, 'position': 10, 'block_name': 'choice'}"
step,5445080,"{'lesson': 414777, 'position': 10, 'block_name': 'code'}"
step,1609068,"{'lesson': 414778, 'position': 11, 'block_name': 'code'}"
step,4665169,"{'lesson': 414777, 'position': 11, 'block_name': 'code'}"
step,2840306,"{'lesson': 414778, 'position': 12, 'block_name': 'code'}"
step,4665170,"{'lesson': 414777, 'position': 12, 'block_name': 'code'}"
step,1609069,"{'lesson': 414778, 'position': 13, 'block_name': 'code'}"
step,5603419,"{'lesson': 414777, 'position': 13, 'block_name': 'code'}"
step,1609093,"{'lesson': 414778, 'position': 14, 'block_name': 'code'}"
step,1981666,"{'lesson': 414778, 'position': 15, 'block_name': 'code'}"
step,1981667,"{'lesson': 414778, 'position': 16, 'block_name': 'code'}"
step,3278685,"{'lesson': 784099, 'position': 1, 'block_name': 'text'}"
step,3311914,"{'lesson': 791928, 'position': 1, 'block_name': 'text'}"
step,2398195,"{'lesson': 588212, 'position': 2, 'block_name': 'text'}"
step,3278690,"{'lesson': 784099, 'position': 2, 'block_name': 'text'}"
step,3311917,"{'lesson': 791928, 'position': 2, 'block_name': 'text'}"
step,2398196,"{'lesson': 588212, 'position': 3, 'block_name': 'text'}"
step,3278691,"{'lesson': 784099, 'position': 3, 'block_name': 'text'}"
step,3311918,"{'lesson': 791928, 'position': 3, 'block_name': 'text'}"
step,2398197,"{'lesson': 588212, 'position': 4, 'block_name': 'text'}"
step,3278692,"{'lesson': 784099, 'position': 4, 'block_name': 'text'}"
step,3311919,"{'lesson': 791928, 'position': 4, 'block_name': 'text'}"
step,2398198,"{'lesson': 588212, 'position': 5, 'block_name': 'text'}"
step,3279367,"{'lesson': 784099, 'position': 5, 'block_name': 'text'}"
step,3311920,"{'lesson': 791928, 'position': 5, 'block_name': 'text'}"
step,2398199,"{'lesson': 588212, 'position': 6, 'block_name': 'text'}"
step,3279365,"{'lesson': 784099, 'position': 6, 'block_name': 'text'}"
step,3311921,"{'lesson': 791928, 'position': 6, 'block_name': 'text'}"
step,2398200,"{'lesson': 588212, 'position': 7, 'block_name': 'number'}"
step,3279366,"{'lesson': 784099, 'position': 7, 'block_name': 'text'}"
step,3311922,"{'lesson': 791928, 'position': 7, 'block_name': 'text'}"
step,2398201,"{'lesson': 588212, 'position': 8, 'block_name': 'number'}"
step,3280624,"{'lesson': 784099, 'position': 8, 'block_name': 'text'}"
step,3311923,"{'lesson': 791928, 'position': 8, 'block_name': 'text'}"
step,2398202,"{'lesson': 588212, 'position': 9, 'block_name': 'number'}"
step,3280623,"{'lesson': 784099, 'position': 9, 'block_name': 'text'}"
step,3311924,"{'lesson': 791928, 'position': 9, 'block_name': 'text'}"
step,3280625,"{'lesson': 784099, 'position': 10, 'block_name': 'text'}"
step,4192403,"{'lesson': 784099, 'position': 11, 'block_name': 'text'}"
step,4192406,"{'lesson': 784099, 'position': 12, 'block_name': 'text'}"
